ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus,score_5AP7
phase2b_seed_0_11688533,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_4_71721528,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_4_15980347,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_1_108000,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_2_11675054,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_1_72346,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_2_10292573,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_2_454735,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_4_165414871,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_1_44519124,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_2_71666749,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_0_107867,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_4_24768483,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_2_16071896,-7.3,-7.3,0.0,1,1,False,-7.3
phase2b_seed_3_1150897,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_3_168182,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_1_129532613,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_0_50922681,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_4_57378176,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_2_3749366,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_4_58464924,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_2_11357740,-7.2,-7.2,0.0,1,1,False,-7.2
phase2b_seed_4_71288492,-7.1,-7.1,0.0,1,1,False,-7.1
phase2b_seed_4_71288531,-7.1,-7.1,0.0,1,1,False,-7.1
phase2b_seed_0_155907792,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_0_86274158,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_4_71538688,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_1_128784,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_0_4472,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_0_2396,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_1_9925908,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_0_6914657,-7.0,-7.0,0.0,1,0,False,-7.0
phase2b_seed_1_86567422,-6.9,-6.9,0.0,1,0,False,-6.9
phase2b_seed_0_4848,-6.9,-6.9,0.0,1,0,False,-6.9
phase2b_seed_4_87382935,-6.9,-6.9,0.0,1,0,False,-6.9
phase2b_seed_0_71919,-6.9,-6.9,0.0,1,0,False,-6.9
phase2b_seed_4_165414970,-6.8,-6.8,0.0,1,0,False,-6.8
phase2b_seed_2_129989,-6.8,-6.8,0.0,1,0,False,-6.8
phase2b_seed_1_71301472,-6.8,-6.8,0.0,1,0,False,-6.8
phase2b_seed_3_23897,-6.8,-6.8,0.0,1,0,False,-6.8
phase2b_seed_0_3114,-6.7,-6.7,0.0,1,0,False,-6.7
phase2b_seed_4_46209426,-6.7,-6.7,0.0,1,0,False,-6.7
phase2b_seed_0_129597835,-6.7,-6.7,0.0,1,0,False,-6.7
phase2b_seed_1_71234,-6.7,-6.7,0.0,1,0,False,-6.7
phase2b_seed_4_124222752,-6.5,-6.5,0.0,1,0,False,-6.5
