ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2_7CHM_LIG_142436055,-9.159,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.64a=142.5,True
phase2_7CHM_LIG_155012434,-9.158,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.26a=151.7 | GLY605(ldon)d=3.49a=154.9,True
phase2_7CHM_LIG_142416349,-9.149,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.29a=151.6 | GLY605(ldon)d=3.18a=109.7 | GLY605(ldon)d=2.92a=106.3 | GLY605(ldon)d=3.02a=125.2,True
phase2_7CIL_LIG_177211774,-9.146,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.03a=170.4 | GLU603(ldon)d=3.17a=108.9 | GLY605(ldon)d=3.19a=117.5,True
phase2_7CHM_LIG_122490584,-9.138,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.20a=151.7 | GLU603(ldon)d=3.06a=118.6 | GLY605(ldon)d=3.40a=143.9 | GLY605(ldon)d=3.16a=108.7,True
phase2_7CHM_LIG_155022056,-9.121,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.29a=151.5 | GLU603(ldon)d=3.10a=174.0 | GLY605(ldon)d=2.94a=159.2 | GLY605(ldon)d=2.92a=125.8,True
phase2_7CHM_LIG_146393706,-9.114,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.31a=149.1 | GLU603(ldon)d=3.31a=171.6 | GLY605(ldon)d=3.05a=117.1,True
phase2_7CHM_LIG_146393636,-9.105,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.15a=147.9 | GLU603(ldon)d=3.02a=121.9,True
phase2_7CHM_LIG_155536065,-9.103,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.57a=154.2 | GLU603(ldon)d=3.14a=125.5 | GLY605(ldon)d=2.96a=147.9 | GLY605(ldon)d=3.37a=119.5,True
phase2_7CHM_LIG_142436018,-9.1,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.29a=154.9 | GLU603(ldon)d=3.11a=139.0 | GLY605(ldon)d=3.46a=119.4 | GLY605(ldon)d=2.95a=141.7,True
phase2_7CHM_LIG_142436062,-9.095,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.23a=149.2 | GLU603(ldon)d=3.17a=108.8 | GLY605(ldon)d=3.45a=101.8,True
phase2_7CHN_LIG_155691506,-9.093,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.24a=148.9 | GLU603(ldon)d=3.21a=121.1 | GLY605(ldon)d=3.13a=110.4 | GLY605(ldon)d=3.45a=111.1 | GLY605(ldon)d=2.96a=106.1,True
phase2_7CIL_LIG_175716355,-9.089,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.26a=159.9 | GLU603(ldon)d=3.06a=129.8 | GLY605(ldon)d=3.67a=144.3,True
phase2_7CIL_LIG_155928385,-9.079,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.86a=133.8,True
phase2_7CHN_LIG_155118967,-9.071,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.29a=151.5 | GLU603(ldon)d=3.13a=133.9 | GLY605(ldon)d=3.12a=159.6 | GLY605(ldon)d=3.08a=138.3,True
phase2_7CHM_LIG_118286447,-9.07,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.23a=152.9 | GLU603(ldon)d=2.89a=134.9 | GLY605(ldon)d=3.53a=168.8,True
phase2_7CHN_LIG_166866573,-9.067,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=4.03a=153.7 | GLU603(ldon)d=3.18a=107.9 | GLY605(ldon)d=3.39a=119.3 | GLY605(ldon)d=2.93a=160.5 | GLY605(ldon)d=3.49a=121.7,True
phase2_7CIL_LIG_142416310,-9.064,0,0,0,0,0,0,0,[],,False
phase2_7CHN_LIG_155109155,-9.063,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.20a=154.3 | GLU603(ldon)d=3.02a=163.6 | GLY605(ldon)d=3.05a=111.6 | GLY605(ldon)d=3.42a=124.3 | GLY605(ldon)d=3.94a=113.7,True
phase2_7CHN_LIG_155691548,-9.06,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.98a=163.6 | GLU603(ldon)d=3.22a=119.4 | GLY605(ldon)d=3.33a=108.3 | GLY605(ldon)d=3.15a=132.4 | GLY605(ldon)d=3.42a=119.4,True
phase2_7CHM_LIG_118286277,-9.012,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.18a=149.8 | GLU603(ldon)d=3.09a=129.0 | GLY605(ldon)d=2.93a=165.7 | GLY605(ldon)d=3.48a=152.1 | GLY605(ldon)d=2.94a=131.0,True
phase2_7CHM_LIG_118286391,-9.008,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.15a=148.8 | GLU603(ldon)d=2.99a=111.8,True
phase2_7CHM_LIG_146393608,-8.996,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.16a=150.4 | GLY605(ldon)d=3.03a=112.3 | GLY605(ldon)d=2.91a=133.3,True
