ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CHN_LIG_164091414,7CHN_LIG,-8.898,1,0,432.49,3.52,3,9,125.7,6.817,152.57,COC[C@@H](C)Nc1nc(Nc2ccc(-n3ccnc3C)cc2OC)nc2[nH]cc(C#N)c12,4.338,0.214,45870.77,low,0.4447970981636817,0.07229612492770388,0.2585466115456928
phase2_7CHN_LIG_155691527,7CHN_LIG,-8.898,1,0,432.49,3.52,3,9,125.7,6.817,152.57,COC[C@@H](C)Nc1nc(Nc2ccc(-n3ccnc3C)cc2OC)nc2[nH]cc(C#N)c12,4.338,0.214,45870.76,low,0.4447970981636817,0.07229612492770388,0.2585466115456928
phase2_7CIL_LIG_127046343,7CIL_LIG,-7.469,1,0,321.39,3.47,2,6,95.21,6.814,153.61,N#CCC1(n2cc(Nc3ncnc4[nH]ccc34)cn2)CCCCC1,4.848,0.413,14203.72,low,0.7687599183858534,0.36726431463273557,0.5680121165092945
phase2_7CIL_LIG_127046344,7CIL_LIG,-7.632,2,0,307.36,3.08,2,6,95.21,6.811,154.42,N#CCC1(n2cc(Nc3ncnc4[nH]ccc34)cn2)CCCC1,4.898,0.425,12639.95,low,0.7318068465200634,0.39618276460381696,0.5639948055619401
phase2_7CHM_LIG_142416334,7CHM_LIG,-9.46,4,2,452.49,2.59,4,8,130.99,6.808,155.44,CNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.131,0.253,7389.75,low,0.31738834731353405,0.5309427414690573,0.42416554439129567
phase2_7CHM_LIG_142436048,7CHM_LIG,-9.255,2,0,424.44,2.84,3,7,115.3,6.807,156.11,CNc1cc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,5.203,0.151,6272.93,moderate,0.36386306959873016,0.5725853094274148,0.4682241895130725
phase2_7CHN_LIG_155109134,7CHN_LIG,-9.608,2,1,419.45,2.52,3,8,128.19,6.799,158.81,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2COC2)c2c(C#N)c[nH]c2n1,4.726,0.181,18799.4,moderate,0.2838358648832462,0.29670329670329665,0.2902695807932714
phase2_7CHN_LIG_166866535,7CHN_LIG,-10.03,3,1,451.56,4.03,3,9,111.12,6.796,159.9,COc1cc(N2CCCS2)ccc1Nc1nc(NC2CCOCC2)c2c(C#N)c[nH]c2n1,4.555,0.181,27877.41,moderate,0.18816594876445253,0.19780219780219757,0.19298407328332506
phase2_7CHN_LIG_155109158,7CHN_LIG,-9.339,2,0,405.46,3.53,3,7,118.96,6.796,160.09,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC(C)C)c2c(C#N)c[nH]c2n1,4.484,0.173,32846.93,moderate,0.3448197687599182,0.15673799884326195,0.2507788838015901
phase2_7CHN_LIG_155109139,7CHN_LIG,-9.868,2,0,430.51,4.67,3,6,106.07,6.79,162.3,COc1cc(N2CCCC2=O)ccc1Nc1cc(NC2CCCC2)c2c(C#N)c[nH]c2n1,4.94,0.195,11481.84,moderate,0.22489231466787557,0.4204742625795259,0.32268328862370077
