assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL3707802,C[C@@H]1C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H](N)[C@@H]1NS(C)(=O)=O,CHEMBL3639088,CHEMBL3687437,nM,7100.0,nM,7100.0,7100.0,5.1487416512809245
CHEMBL3707781,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)C[C@@H](O)[C@@H]1O,CHEMBL3638421,CHEMBL3652015,nM,1.0,nM,1.0,1.0,9.0
CHEMBL3707802,CO[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C(C)(C)O)cc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3687507,nM,1.33,nM,1.33,1.33,8.876148359032914
CHEMBL3707781,Cc1ccc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@H](O)[C@@H](C)C3)ccc2F)c1F,CHEMBL3638421,CHEMBL3651940,nM,2.0,nM,2.0,2.0,8.698970004336019
CHEMBL3707781,C[C@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3ccncc3)n2)C[C@@H](N)[C@@H]1O,CHEMBL3638421,CHEMBL3652014,nM,18.0,nM,18.0,18.0,7.7447274948966935
CHEMBL3707781,C[C@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(C3CCCCC3)n2)C[C@@H](N)[C@@H]1O,CHEMBL3638421,CHEMBL3651912,nM,3.0,nM,3.0,3.0,8.522878745280337
CHEMBL3707802,CO[C@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)sc2N)C[C@@H]1C,CHEMBL3639088,CHEMBL3687479,nM,1.17,nM,1.17,1.17,8.931814138253838
CHEMBL3707802,COCCOc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@@H](OCCS(C)(=O)=O)[C@@H](C)C3)ccc2F)c(F)c1,CHEMBL3639088,CHEMBL3691914,nM,2.54,nM,2.54,2.54,8.595166283380062
CHEMBL3707802,COCCOc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@@H](S(C)(=O)=O)[C@@H](C)C3)ccc2F)c(F)c1,CHEMBL3639088,CHEMBL3687528,nM,9.07,nM,9.07,9.07,8.042392712939904
CHEMBL3707802,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1Oc1ccccn1,CHEMBL3639088,CHEMBL3687532,nM,1.53,nM,1.53,1.53,8.8153085691824
CHEMBL3707802,COc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@H](OC)[C@@H](C)C3)ccc2F)c(F)c1,CHEMBL3639088,CHEMBL3691927,nM,3.02,nM,3.02,3.02,8.51999305704285
CHEMBL3707781,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)ccc(F)c3F)n2)C1,CHEMBL3638421,CHEMBL3652023,nM,3.0,nM,3.0,3.0,8.522878745280337
CHEMBL3707781,Nc1cc(F)c(-c2ccncc2F)nc1C(=O)Nc1cnccc1[C@@H]1CCC[C@H](N)C1,CHEMBL3638421,CHEMBL3652028,nM,24.0,nM,24.0,24.0,7.619788758288394
CHEMBL3707781,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2cccc(-c3c(F)cccc3F)n2)C1,CHEMBL3638421,CHEMBL3651959,nM,3.0,nM,3.0,3.0,8.522878745280337
CHEMBL3707781,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3ccc(O)cc3F)n2)C1,CHEMBL3638421,CHEMBL3651934,nM,4.0,nM,4.0,4.0,8.397940008672037
