ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,leverage,in_ad_leverage
phase2_7CHM_LIG_142416326,7CHM_LIG,-8.884,2,1,495.48,3.69,3,7,98.41,6.638,230.18,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.18342917103415324,True
phase2_7CHM_LIG_142436016,7CHM_LIG,-8.254,1,0,482.52,2.88,2,8,115.74,6.635,231.66,COCCN(C)c1cc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.1939048116268175,True
phase2_7CHM_LIG_142436055,7CHM_LIG,-9.159,1,0,480.47,3.9,3,6,85.52,6.616,241.9,CNc1cc(Nc2cc(F)c(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.16259890144329397,True
phase2_7CIL_LIG_157996792,7CIL_LIG,-7.521,2,0,271.33,2.09,3,6,83.45,6.614,243.46,CNc1nc(Nc2cnn(C)c2C)nc2[nH]cc(C)c12,0.13123545078845458,True
phase2_7CHN_LIG_166866572,7CHN_LIG,-9.196,4,1,421.51,3.57,4,8,122.12,6.612,244.16,COc1cc(N2CCC[C@H]2O)ccc1Nc1nc(NCC(C)C)c2c(C#N)c[nH]c2n1,0.18497433856572026,True
phase2_7CHN_LIG_166866574,7CHN_LIG,-9.309,1,0,405.46,3.53,3,7,118.96,6.57,269.39,CCCNc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.22236430759937462,False
phase2_7CHM_LIG_142436034,7CHM_LIG,-10.153,1,0,440.45,4.1,3,6,106.07,6.561,274.86,CNc1cc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.15093106473639828,True
phase2_7CHM_LIG_122490585,7CHM_LIG,-8.883,2,0,400.41,2.36,3,7,104.4,6.56,275.28,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.15023179833949293,True
phase2_7CHN_LIG_155109125,7CHN_LIG,-9.378,1,1,419.49,3.92,3,7,118.96,6.558,276.48,CCCCNc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.22370010221128114,False
phase2_7CHM_LIG_146329789,7CHM_LIG,-9.747,3,0,496.59,3.74,3,7,94.75,6.546,284.77,CNc1cc(Nc2cc(F)c(C(=O)N3CCC(N4CCOCC4)CC3)cc2OC)nc2[nH]cc(C)c12,0.15222247227721872,True
phase2_7CIL_LIG_155022147,7CIL_LIG,-7.706,3,1,282.31,1.66,3,7,107.24,6.545,285.3,CNc1nc(Nc2cnn(C)c2C)nc2[nH]cc(C#N)c12,0.12638357158962904,True
phase2_7CHN_LIG_155109143,7CHN_LIG,-9.384,1,1,406.49,4.19,3,6,95.17,6.543,286.57,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCC2)c2cc[nH]c2n1,0.19430438568231898,True
phase2_7CHN_LIG_155118890,7CHN_LIG,-9.813,1,1,420.52,4.58,3,6,95.17,6.535,291.54,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCCC2)c2cc[nH]c2n1,0.19418954185551743,True
phase2_7CHM_LIG_146393706,7CHM_LIG,-9.114,2,1,479.43,4.22,2,6,92.37,6.534,292.61,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.1807411179414988,True
phase2_7CHN_LIG_155691548,7CHN_LIG,-9.06,4,1,449.52,3.55,3,8,128.19,6.52,302.14,COCC(C)(C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.18146621234210028,True
phase2_7CHM_LIG_142436000,7CHM_LIG,-9.272,3,1,434.5,3.48,3,7,115.3,6.513,307.12,CCNc1cc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C#N)c12,0.1623977120245041,True
phase2_7CHM_LIG_146329893,7CHM_LIG,-10.15,1,1,436.49,4.19,3,6,106.07,6.512,307.39,CNc1cc(Nc2ccc(C(=O)N3CCC(C)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.15359595243549157,True
phase2_7CHT_LIG_151121021,7CHT_LIG,-9.439,2,0,421.46,3.15,3,8,128.19,6.496,319.09,CCNc1nc(Nc2cc3c(cc2OC)N(C)C(=O)C(C)(C)O3)nc2[nH]cc(C#N)c12,0.23113993219280374,False
