ligand,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder,MW,LogP,HBD,HBA,TPSA,RotBonds,SA_score,SA_class,PAINS,Brenk_alert,ro5_violations,passes_local,smiles,passes_admet,affinity_kcal,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2b_seed_2_462958,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.12a=137.2,True,498.65,3.89,3,6,110.43,6,2.823,easy,False,False,0,True,CN(c1ncccc1NC(C)(C)C)C1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,True,-8.3,4.536,0.152,29101.52,moderate,0.5789473684210524,0.05043812780508651,0.31469274811306946
phase2b_seed_4_164628676,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.46a=114.5,True,457.56,3.99,1,8,88.83,6,3.317,moderate,False,False,0,True,O=C(c1nccs1)N1CC[C@@H](Nc2nccc(-n3cc(C4CC4)nc3-c3ccccc3)n2)C1,True,-8.3,5.236,0.258,5810.5,low,0.5789473684210524,0.200042744176106,0.3894950562985792
phase2b_seed_0_46181428,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.53a=154.5 | GLU603(ldon)d=3.82a=102.7,True,396.37,3.76,2,5,97.11,6,3.186,moderate,False,False,0,True,O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,True,-8.3,4.945,0.22,11342.48,low,0.5789473684210524,0.13784996794186805,0.35839866818146027
phase2b_seed_4_53482332,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.03a=166.8 | GLU603(ldon)d=3.18a=145.4,True,415.5,2.44,3,8,115.09,4,3.215,moderate,False,False,0,True,Cn1ncc(NC(=O)c2nc(-c3ccccc3F)sc2N)c1N1CCC[C@H](N)C1,True,-8.3,8.63,0.352,2.34,low,0.5789473684210524,0.9254114126950206,0.7521793905580365
phase2b_seed_4_53329531,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.97a=154.1 | GLU603(ldon)d=3.79a=117.5,True,433.47,4.4,2,8,105.58,6,2.671,easy,False,False,0,True,O=C(Nc1nnc(-c2ccc(F)cc2)s1)c1nc(C2CC2)ccc1Nc1cncnc1,True,-8.3,6.767,0.164,171.02,moderate,0.5789473684210524,0.5272494122675787,0.5530983903443156
phase2b_seed_4_91809176,5,1,4,0,0,0,0,[605],GLY605(pdon)d=3.31a=160.2 | GLY605(ldon)d=3.79a=109.9 | GLY605(ldon)d=3.20a=126.0 | GLY605(ldon)d=2.87a=100.7 | GLY605(ldon)d=2.88a=105.1,True,461.6,4.61,2,8,97.62,6,2.767,easy,False,False,0,True,Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)c1cnc(C(C)(C)C)s1,True,-8.3,4.3,0.252,50094.09,low,0.5789473684210524,0.0,0.2894736842105262
phase2b_seed_4_53469815,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.20a=163.3 | GLY605(ldon)d=3.72a=159.7,True,472.53,3.08,2,9,119.1,6,2.784,easy,False,False,0,True,Cc1nc(CNC(=O)c2cnn(C)c2C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)cs1,True,-8.3,4.755,0.181,17577.93,moderate,0.5789473684210524,0.09724300064116267,0.33809518453110754
phase2b_seed_2_58548219,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.53a=156.7 | GLY605(ldon)d=3.06a=131.7,True,433.45,3.12,2,7,113.0,6,2.702,easy,False,False,0,True,O=C(Nc1cc(F)ccc1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1,True,-8.3,5.778,0.385,1666.06,low,0.5789473684210524,0.3158794614233811,0.44741341492221676
phase2b_seed_4_56932125,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.26a=162.0 | GLY605(ldon)d=3.13a=124.2 | GLY605(ldon)d=2.80a=167.1,True,465.58,2.32,1,9,86.72,6,2.623,easy,False,False,0,True,O=C(CN1CCN(c2ccnc(Nc3ncc(-c4cccnc4)s3)c2)CC1)N1CCOCC1,True,-8.2,4.829,0.066,14828.15,high,0.6052631578947371,0.1130583458003847,0.35916075184756086
phase2b_seed_4_137441521,3,1,2,0,0,0,0,[605],GLY605(pdon)d=4.02a=160.1 | GLY605(ldon)d=2.86a=161.0 | GLY605(ldon)d=3.21a=137.5,True,474.53,2.28,3,10,127.47,7,3.794,moderate,False,False,0,True,CNc1cc(Nc2cccn(-c3ccc(C)nc3)c2=O)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,True,-8.2,6.085,0.469,821.59,low,0.6052631578947371,0.38149177174609966,0.49337746482041833
